Provider,URL,Protocols,Filtering,DNSSEC,NoLogging,Upstream,Comment
AdFilter,https://per.adfilter.net/dns-query,"DoH, DoT",广告过滤,No,否（保留30天统计）,自有,"Perth服务器，聚合统计保留30天"
AdFilter,https://adl.adfilter.net/dns-query,"DoH, DoT",广告过滤,No,否（保留30天统计）,自有,"Adelaide服务器"
Adfreedns,https://adfreedns.top/dns-query,"DoH, DoT, DoQ",广告过滤,No,未知,自有,广告过滤
AdGuard,https://dns.adguard-dns.com/dns-query,"DoH, DoT, DoQ",广告过滤,Yes,未知,自有,"Default: DNS级别广告过滤，TLS 1.3"
AdGuard,https://family.adguard-dns.com/dns-query,"DoH, DoT, DoQ","广告过滤, 家庭保护",Yes,未知,自有,"Family: 额外屏蔽成人网站"
AdGuard,https://unfiltered.adguard-dns.com/dns-query,"DoH, DoT, DoQ",无过滤,Yes,未知,自有,"Uncensored: 无过滤版本"
AliDNS,https://dns.alidns.com/dns-query,"DoH, DoT, DoQ",无过滤,No,未知,自有,阿里DNS
Andrews & Arnold,https://dns.aa.net.uk/dns-query,"DoH, DoT",无过滤,Yes,是,自有,"无日志，隐私声明"
Angry.im,https://doh.angry.im/dns-query,DoH,广告过滤,No,未知,Cloudflare,"使用Cloudflare上游，OpenNIC"
anon.no,https://dns.anon.no/dns-query,"DoH, DoT, DoQ",广告过滤,No,未知,AdGuard,"使用AdGuard浏览安全服务"
applewebkit.dev,https://dns.applewebkit.dev/dns-query,"DoH, DoT",广告过滤,No,未知,Cloudflare,"使用Cloudflare上游"
Aquilenet DNS,https://dns.aquilenet.fr/dns-query,"DoH, DoT",无过滤,Yes,未知,自有,"法国非营利ISP，IPv4+IPv6"
arnor.org,https://nsec.arnor.org/dns-query,"DoH, DoT, DoQ, DoH3","广告过滤, 恶意软件, 钓鱼",Yes,部分（仅记录过滤URL）,自有,"DNSSEC强制，隐私重定向"
Asteri Moon,https://dns.asterimoon.com/dns-query,"DoH, DoT",广告过滤,No,未知,自有,广告过滤
a47.me,https://dns.a47.me/dns-query,DoH,无过滤,No,未知,未知,
bazooki-infra.dev,https://bazooki-infra.dev/dns-query,DoH,无过滤,No,未知,未知,
Belnet,https://dns.belnet.be/dns-query,DoH,无过滤,No,未知,未知,
Ben Hocking,https://dns.bmwhocking.com/dns-query,DoH,无过滤,No,未知,未知,
BITServices,https://dns.bitservices.io/dns-query,"DoH, DoT, DoQ",广告过滤,No,未知,Cloudflare,"使用Cloudflare上游"
Blokada DNS,https://dns.blokada.org/dns-query,"DoH, DoT",无过滤,No,是,自有,无日志
Blue Shield Umbrella,https://rfree1.blue-shield.at/dns-query,"DoH, DoT",无过滤,No,未知,自有,服务器1
Blue Shield Umbrella,https://rfree2.blue-shield.at/dns-query,"DoH, DoT",无过滤,No,未知,自有,服务器2
brembeck.cloud,https://dns.brembeck.cloud/dns-query,DoH,"广告过滤, 成人内容过滤",No,未知,AdGuard,"使用AdGuard家长控制服务"
busold.ws,https://dns.busold.ws/dns-query,"DoH, DoT",广告过滤,No,未知,自有,广告过滤
Canarypwn,https://doh.aaaab3n.moe/dns-query-114514,DoH,无过滤,No,未知,Cloudflare,"使用Cloudflare上游"
caspervk.net,https://dns.caspervk.net/dns-query,"DoH, DoT",广告过滤,No,未知,自有,广告过滤
CERT Estonia,https://dns.cert.ee/dns-query,"DoH, DoT","恶意软件, 钓鱼, 成人内容, 赌博",No,未知,自有,"钓鱼、恶意软件、色情和赌博过滤"
Charter,https://doh-01.spectrum.com/dns-query,DoH,无过滤,No,未知,未知,
Charter,https://doh-02.spectrum.com/dns-query,DoH,无过滤,No,未知,未知,
chenu.ch,https://dns.chenu.ch/dns-query,"DoH, DoT",广告过滤,No,未知,自有,广告过滤
Christer Warén,https://dns.christerwaren.fi,"DoH, DoT",无过滤,No,未知,未知,
ChunghwaMC,https://dns.chunghwamc.com/dns-query,"DoH, DoT, DoQ",广告过滤,No,未知,Cloudflare,"使用Cloudflare上游"
CIRA Canadian Shield,https://private.canadianshield.cira.ca/dns-query,"DoH, DoT",无过滤,Yes,未知,自有,"加拿大境内DNS流量，隐私保护"
CIRA Canadian Shield,https://protected.canadianshield.cira.ca/dns-query,"DoH, DoT","恶意软件, 钓鱼",Yes,未知,自有,"包含恶意软件和钓鱼拦截"
CIRA Canadian Shield,https://family.canadianshield.cira.ca/dns-query,"DoH, DoT","成人内容过滤, 家庭保护",Yes,未知,自有,"包含成人内容拦截"
Cisco Umbrella,https://doh.opendns.com/dns-query,DoH,无过滤,Yes,未知,自有,"DNSSEC，Anycast"
Cisco Umbrella,https://doh.familyshield.opendns.com/dns-query,DoH,成人内容过滤,Yes,未知,自有,"FamilyShield: 屏蔽成人内容"
